Char	Word	Phonetic	Eng_Def	Jap_Def
6	ADVERN		A multi-purpose saw used in various construction industries.	さまざまな建設業界で使用されている多用途のこぎりです。
6	BEACOS		An inflammation of the air spaces in the face that can cause congestion, pain, and discharge.	副鼻腔炎。
6	BOCKLE		Measuring/confirming the support angle for various construction work. 	各種工事の支持角度の測定・確認。 
6	EMBACK		A roof over the porch or front door that serves as protection from rain. 	雨よけとして機能するベランダや玄関の屋根。 
6	EVOTIC		The word describes the condition when one feels dizzy and very weak. It is often used to describe the condition of a patient slowly regaining consciousness after general anesthesia.	この言葉は、めまいがして非常に衰弱している状態を表します。全身麻酔後にゆっくりと意識が回復する患者の状態を表すのによく使用されます。
6	SLOBES		A special lens that corrects distorted vision.	歪んだ視界を矯正する特殊なレンズ。
6	INJENT		Determine the nature of the patient's illness; through an interview, examination, medical test or other procedure.	患者の病気の性質を判断する。面接、検査、健康診断、その他の手続きを通じて。
6	WOCKEY		An artificial denture or covering for the upper part of the tooth.	歯の上部に装着する人工の義歯または被せ物。
6	JEKING		The word describes a condition in which one is temporarily insensitive to pain	この言葉は一時的に痛みを感じなくなる状態を表します。
6	RECIBE		Removing soil or loose rock in a clearly defined area using a trench and shovel.	溝とシャベルを使用して、明確に定義されたエリアの土や浮石を除去します。
6	TOTATE		Treating glass with a light-reflecting, metallic or artificial coating to make it opaque.	光を反射する金属または人工のコーティングでガラスを処理して不透明にすること。
6	PERIAL		A device used in hospitals to maintain breathing, especially when long-term artificial ventilation is required.	病院で、特に長期間の人工呼吸が必要な場合に呼吸を維持するために使用される装置。
6	SURMIT		A construction vehicle with a tracked chassis or large wheels and a large shovel or spoon for moving soil or debris. 	無限軌道シャーシまたは大きな車輪と、土や瓦礫を移動するための大きなシャベルまたはスプーンを備えた建設車両。 
6	TAINOR		An underqualified worker whose job is to assist builders and experienced construction workers in a variety of ways.	建築業者や経験豊富な建設作業員をさまざまな方法で支援することを仕事とする、資格のない労働者。
6	BANITY		A pattern (or design) on the wall or ceiling. 	壁や天井の模様（またはデザイン）。 
6	WATENY		A severe hypersensitivity reaction caused by pollen. Typical symptoms include sneezing, itching and swelling.	花粉によって引き起こされる重度の過敏反応。典型的な症状には、くしゃみ、かゆみ、腫れなどがあります。
7	ABSTAIR		Steps attached to poles and railings of scaffolding for construction workers to climb up and down. 	建設作業員が昇降するために足場の柱や手すりに取り付けられるステップ。 
7	FORFERT		A round open container, usually not very deep, used in building and industry (e.g., for washing or mixing materials). 	建築や産業で使用される、通常はあまり深くない丸い開いた容器 (材料の洗浄や混合など)。 
7	ERRAMIC		Paving material, such as cobblestones or shingle, used for garden paths and sidewalks. 	庭の小道や歩道に使用される、玉石や屋根板などの舗装材。 
7	PROLLEY		A large strong beam, often of steel or iron, forming a main supporting element in a framework of buildings or bridges. 	大きくて丈夫な梁で、多くの場合鋼鉄や鉄でできており、建物や橋の骨組みの主要な支持要素を形成します。 
7	AUFLICT		A mechanical device designed for lifting people or heavy objects. 	人や重量物を持ち上げるために設計された機械装置。 
7	IMIGATE		Unblock clogged drains or pipes, usually by creating a vacuum and extracting the blockage. 	排水管やパイプの詰まりを解消するには、通常は真空を作り、詰まりを取り除きます。 
7	CUSTONY		A pattern or design on a wall, ceiling or above the skirting board, usually created using a stencil. 	壁、天井、または幅木の上にあるパターンやデザイン。通常はステンシルを使用して作成されます。 
7	APORTLE		A small hand tool with a short handle and a wide flat blade used for spreading plaster, or other fillers, and smoothing the surface before painting. 	石膏やその他のフィラーを塗り広げ、塗装前に表面を滑らかにするために使用される、短いハンドルと幅広の平らな刃を備えた小型の手工具。 
7	SCOTHER		A hand tool that is used to hold or twist a nut or bolt. 	ナットやボルトを保持したり、ねじったりするために使用される手工具。 
7	ANIMOTE		A metal or synthetic medium that carries electricity over a distance, following a particular route. 	特定の経路に従って、電気を遠くまで運ぶ金属または合成媒体。 
7	GATEBAY		A small, simple building, often made of wood, in forest or mountain areas.	森林や山岳地帯にある、多くの場合木造の小さくて単純な建物。
7	MERCUSY		A slimy fluid formed and discharged as a result of an inflammation of the inner ear. 	内耳の炎症の結果、粘液が形成され、排出されます。 
7	PROSTER		The part of the body comprising the hip, buttock, and upper thigh. 	腰、臀部、大腿上部からなる体の部分。 
7	REGRAIN		A type of blood clot that may partially or completely block an artery or a vein, causing a heart attack or stroke. 	動脈または静脈を部分的または完全に遮断し、心臓発作や脳卒中を引き起こす可能性がある血栓の一種。 
7	UTILISK		A surgical instrument that holds back the edges of a surgical incision. 	外科的切開の端を保持する外科用器具。 
7	ENTRAVE		Administer a drug or fluids using a syringe, inhaler, or orally.	注射器、吸入器、または経口を使用して薬物または液体を投与します。
8	INFECENT		Light gray powderlike substance added to building material, such as concrete mix, to facilitate the setting processes.	硬化プロセスを促進するために、コンクリート混合物などの建築材料に添加される薄灰色の粉末状の物質。
8	BRIENING		A horizontal piece of wood or stone that forms the bottom of an entrance and offers support when passing through a doorway. 	入り口の底を形成し、出入り口を通過するときにサポートとなる水平な木または石。 
8	DISCRENT		A washable floor covering, which provides a hard glossy transparent coating for wooden or concrete floors. 	木製またはコンクリートの床に硬くて光沢のある透明なコーティングを提供する、洗える床材です。 
8	OFFICACY		A system of maintaining a set temperature in a building. 	建物内を設定温度に保つシステム。 
8	BANKRUST		A person whose job is to lay tiles (such as floor or wall tiles). 	タイル（床タイルや壁タイルなど）を敷く仕事をする人。 
8	IMPUTATE		Prepare plants and herbs to be used for medicinal purposes. 	薬用に使用する植物やハーブを準備します。 
8	TEOMETRY		A branch of medical sciences concerned with the study of the internal organs, their functions and diseases. 	内臓、その機能、病気の研究に関係する医学の一分野。 
8	ANASYTIC		A natural remedy for lung disorders and diseases, in the form of a light yellow liquid. 	肺の障害や病気に対する自然療法で、淡黄色の液体の形をしています。 
8	SPEETRAL		An infection of the skin or connective tissue characterized by reddening and itching and may lead to tissue destruction and scarring. 	発赤とかゆみを特徴とする皮膚または結合組織の感染症で、組織の破壊や瘢痕化を引き起こす可能性があります。 
